Number Objects, CPU Usage
1,16.00787455078066
2,10.943281902577308
3,15.9453766945186
4,11.02697354346431
5,19.30284066938546
6,17.71156423511392
7,12.963437298958755
8,17.06153441011236
9,19.700142305346617
10,22.302032630250586
11,21.79245750532732
12,20.786816357250377
13,21.373437421557306
14,18.749669888554376
15,19.666029998314702
16,19.926183197244686
17,19.01033878754219
18,20.869112395851044
19,17.28210286489893
20,15.514197716346153
21,16.192851808828408
22,20.55487487933467
23,18.74803788195898
24,20.303497062011523
25,16.91637068130449
26,18.990162926529358
27,21.386741625673462
28,14.22331050128703
29,19.615531752104054
30,13.151698770346151
31,14.805386870484766
32,10.064841657998983
33,19.767954826186696
34,8.924289809747199
35,20.11562025590978
36,17.287459283387623
37,20.653948314979804
38,16.745980534494812
39,13.903683762008058
40,14.77436458993718
41,10.622887789587109
42,17.26229153129738
43,18.762786132920493
44,14.501099664313
45,11.395575689438528
46,13.16655585106383
47,15.286602049807541
48,13.746006389776358
49,12.209904118544346
50,15.488642693569352
51,14.105538922155688
52,17.839416275337335
53,16.83765298776098
54,13.721876005734515
55,18.25379530761967
56,9.149960644466933
57,9.737674231688489
58,17.415750017515588
59,15.111558723272388
60,16.66559499314129
61,17.854664494327782
62,16.71165001611344
63,12.292232302496524
64,16.93567251461988
65,15.370563674321502
66,11.47634873515746
67,13.892878515858767
68,15.764687100893997
69,13.021243599842458
70,15.452456321909052
71,13.149293673773801
72,12.03546243135297
73,13.752890114793331
74,16.80410073545799
75,23.223915592028135
76,16.92522224158968
77,14.146253276688059
78,14.63257086404742
79,14.200867902324212
80,18.806688224623393
81,14.792384501793125
82,10.007591093117409
83,14.5898133748056
84,10.83408332395845
85,4.5906461179444795
86,12.388745523488518
87,16.187764830508474
88,12.09877545340693
89,17.539329037149358
90,14.580942361642437
91,12.182104135992503
92,16.148915187376726
93,14.509845587193654
94,11.621355750313004
95,9.943985623613978
96,7.285026871641046
97,14.702543848737404
98,16.663958023774146
99,14.49315371024735
100,16.892314272553794
