Number Objects,Memory Usage (MB)
1,28.80419921875
2,31.628807067871094
3,33.62781524658203
4,35.64246368408203
5,38.45133972167969
6,40.451560974121094
7,42.451377868652344
8,44.46516418457031
9,46.80419921875
10,48.80419921875
11,51.628761291503906
12,53.628761291503906
13,55.628753662109375
14,57.628990173339844
15,59.628807067871094
16,62.46502685546875
17,64.45135498046875
18,66.46709442138672
19,68.45160675048828
20,70.45158386230469
21,72.45134735107422
22,74.80419921875
23,28.151206970214844
24,30.151206970214844
25,32.151206970214844
26,34.151206970214844
27,36.151206970214844
28,38.151206970214844
29,40.151206970214844
30,42.151206970214844
31,44.151206970214844
32,46.151206970214844
33,49.153160095214844
34,51.153160095214844
35,53.166847229003906
36,55.153160095214844
37,57.153160095214844
38,59.153160095214844
39,61.153160095214844
40,63.153160095214844
41,65.1668472290039
42,67.15316009521484
43,31.453506469726562
44,33.4398193359375
45,35.4398193359375
46,37.44569396972656
47,39.4398193359375
48,41.44005584716797
49,43.4398193359375
50,45.4398193359375
51,48.4378662109375
52,50.4378662109375
53,52.4378662109375
54,54.4378662109375
55,56.4378662109375
56,58.4378662109375
57,61.4398193359375
58,63.4398193359375
59,65.4398193359375
60,67.4398193359375
61,69.4400634765625
62,71.4398193359375
63,73.4398193359375
64,75.4398193359375
65,77.45350646972656
66,79.44569396972656
67,81.4398193359375
68,83.4398193359375
69,85.4398193359375
70,88.4378662109375
71,90.4378662109375
72,92.4378662109375
73,38.104339599609375
74,36.797821044921875
75,38.773712158203125
76,40.763885498046875
77,42.77317810058594
78,44.949745178222656
79,46.96531677246094
80,48.93609619140625
81,51.01005554199219
82,52.96776580810547
83,54.99700164794922
84,56.967376708984375
85,58.98072052001953
86,60.99645233154297
87,63.18531036376953
88,65.15142059326172
89,67.1279296875
90,69.15254211425781
91,71.1497802734375
92,73.15160369873047
93,75.17305755615234
94,77.17523193359375
95,79.18531036376953
96,81.38131713867188
97,83.38143157958984
98,85.38131713867188
99,87.38131713867188
100,89.38134765625
