Total Objects,Memory Usage (MB)
1,28.953285217285156
2,30.953338623046875
3,32.95234680175781
4,34.953285217285156
5,36.95336151123047
6,39.22802734375
7,41.22998046875
8,44.09162902832031
9,46.091636657714844
10,48.09166717529297
11,50.09162902832031
12,52.971656799316406
13,55.22802734375
14,57.22802734375
15,60.091705322265625
