Total Objects,Memory Usage (MB)
1,28.091636657714844
2,30.953338623046875
3,32.95234680175781
4,34.953285217285156
5,36.95336151123047
6,38.95344543457031
7,41.22802734375
8,44.09162902832031
9,46.091636657714844
10,48.09166717529297
11,50.09162902832031
12,52.09162902832031
13,54.953277587890625
14,57.22802734375
15,60.091705322265625
