Total Objects,CPU Usage
1,0.0
2,29.580386289445048
3,22.442330736968245
4,21.23586282378694
5,22.556542810985462
6,28.822265162867733
7,29.303539597657245
8,19.008492944663157
9,24.88778054862843
10,15.923134277193101
11,22.602022498803258
12,25.170603674540683
13,26.291638907395072
14,25.46099016037809
15,27.618765272387524
