Total Objects,Memory Usage (MB)
1,26.954307556152344
2,29.22802734375
3,32.0906982421875
4,34.09162902832031
5,36.0916748046875
6,38.09162902832031
7,40.091636657714844
8,42.95331573486328
9,44.953277587890625
10,46.95329284667969
11,48.953330993652344
12,50.953277587890625
13,54.09162902832031
14,56.95915985107422
15,58.953277587890625
