Number Objects,CPU Usage
1,21.58051531395094
2,25.596571946219125
3,26.507465963987702
4,24.324637233714107
5,24.529410176082962
6,25.20658161786025
7,23.629995168748703
8,18.257472024174888
9,25.51333774914193
10,24.1563663178594
11,28.549763796435474
12,23.475302419354836
13,25.997344839030866
14,25.563486869017428
15,17.780049059689286
16,20.634010484927916
17,20.044329207092673
18,21.567073170731707
19,20.47349552888101
20,23.47164356772383
21,22.2148814931043
22,25.279925890124055
23,24.64957044118597
24,19.041849072336877
25,20.74683094036994
26,26.307564310127724
27,24.17953285827395
28,24.28982916170044
29,22.156560193433446
30,24.95917950811307
31,24.7487648776106
32,22.22663139329806
33,18.949301325689717
34,21.228526220614828
35,22.756769136807815
36,20.02696601028471
37,18.439551950560062
38,18.222739864014102
39,20.738442511088365
40,18.910395352869777
41,12.979711836258359
42,19.878716058052433
43,33.29977134542431
44,22.199956197985106
45,19.493616564746272
46,20.589762226144742
47,23.404607241669673
48,18.02952355986631
49,23.35379001492785
50,21.55095606880954
51,19.354758096761294
52,21.39736120630569
53,17.34268029635187
54,21.536385979910236
55,19.888609784220062
56,20.132547603879097
57,25.495617268780208
58,22.97375486021107
59,30.103572882736156
60,18.883586946961035
61,25.777987336656338
62,18.580907972945276
63,20.08797653958944
64,23.858166788741237
65,16.180297397769515
66,16.326477343913133
67,22.27632515119175
68,20.536220153783894
69,17.592739169436967
70,18.75499520460358
71,17.611867045762253
72,20.096580298786183
73,22.84887566137566
74,14.884824451969344
75,23.17627261253681
76,16.902924150215227
77,23.982118294360387
78,20.22019189305735
79,14.888135151001238
80,19.63669433821472
81,19.6767174386074
82,17.877167256102823
83,20.447422034163925
84,20.41894949976179
85,20.536734460694696
86,21.930663178021536
87,15.857275254865616
88,18.678526048284624
89,20.093952215032353
90,22.759275815824765
91,18.012524719841792
92,22.337441138162507
93,20.42457948996202
94,19.760487072202555
95,16.967804048002865
96,15.750877376774397
97,15.453703703703702
98,10.812573789846518
99,12.249839403073578
100,21.30520542672953
