Number Objects ,CPU Usage
1,0.0
2,27.702802359882007
3,26.293220986038396
4,23.415557295745238
5,25.435360094451003
6,25.638046765508594
7,27.082764737991265
8,23.164726189670347
9,21.930444531097677
10,16.69105400904116
11,25.057142857142857
12,21.86560525185594
13,25.922345555454463
14,26.5528070719603
15,26.813591975021588
16,22.390368050117463
17,22.368986254295535
18,29.574300910629383
19,26.77377521613833
20,31.375385802469136
21,23.66821980978
22,26.566856412639407
23,25.658531140709872
24,32.63933108948118
25,25.700800915331808
26,21.721775207442796
27,21.205570133587788
28,23.290445806397447
29,23.69701823558403
30,21.085096803241782
31,19.101619581100827
32,23.77613534172662
33,24.56074598224994
34,22.974308300395258
35,21.52840737382895
36,24.293681996891287
37,21.99432274919614
38,21.710110584518166
39,26.90370798049782
40,29.068138518435504
41,21.026271276033405
42,17.065892965183433
43,31.22061630126146
44,22.67112557242709
45,19.015360277607677
46,12.834778420038537
47,21.80408271474019
48,17.425695110258868
49,25.123378063657537
50,21.81832901554404
51,22.404346773217096
52,25.36267795999279
53,22.895291637385803
54,23.449726658805876
55,20.245625443367228
56,21.267605633802816
57,21.137179487179488
58,26.03582984768369
59,17.576555355410836
60,22.051937567276642
61,23.60135698131175
62,20.5148847860312
63,21.006917151391292
64,25.12562053517375
65,18.29680598029222
66,18.09540471191976
67,16.98216235893702
68,21.163787668642037
69,30.807530630030243
70,24.63160301048041
71,20.10193819711099
72,26.64103638104356
73,23.409163219853642
74,22.290995705850776
75,10.205346555998707
76,15.489811020036429
77,21.285218062524123
78,20.003883379137292
79,20.6519150152439
80,18.052092609082816
81,20.125875449555178
82,20.4226403823178
83,22.234957919859312
84,20.422308188265635
85,20.67930432251492
86,26.740095258714007
87,21.326332240603797
88,19.933456873315365
89,15.328157620041754
90,17.20317254592584
91,20.447976878612717
92,16.356191504679625
93,22.642812056178002
94,21.44492230854606
95,19.36641179078014
96,17.11194851384537
97,9.293206731127738
98,6.034669116653606
99,16.610769614154588
100,19.497350708864385
