Number Objects, CPU Usage
1,21.32346076646595
2,25.186322442165515
3,25.909207598836215
4,19.063264871767586
5,16.705525763581257
6,14.367352614015571
7,19.48777537246912
8,18.4790135293491
9,26.367629743682635
10,10.461732085267048
11,20.69127365575248
12,16.952821298150546
13,18.67112810707457
14,14.2020697167756
15,16.86386768447837
16,16.883943730293478
17,14.44723040117777
18,12.772185702547247
19,15.221016410799365
20,17.63002454740718
21,19.955283717105264
22,16.690947940947943
23,23.122161406777685
24,16.434398368456833
25,16.554908211498294
26,17.294314668498796
27,14.083715815643528
28,12.461054611721826
29,15.285821737495297
30,17.758683507408307
31,17.012975626863057
32,20.60430082796688
33,8.010687316011774
34,19.41776710684274
35,19.48355852189484
36,15.070751888715673
37,11.686383928571429
38,14.016209324915007
39,11.843600478468899
40,14.156055598755831
41,14.239809580482
42,13.920454545454545
43,16.536668079694785
44,15.390738060781475
45,5.625885599224401
46,16.839608656981916
47,11.249388620183685
48,15.290794346610234
49,23.324696737722295
50,15.269804822043628
51,16.827203736135434
52,14.312626646403242
53,18.850713627992633
54,16.480761358984854
55,15.692349137931034
56,14.252174973575087
57,26.008700037826248
58,14.283628576990463
59,16.473440134907253
60,12.147828623822623
61,23.22818868788642
62,15.808823529411764
63,18.83111410753413
64,18.78824969400245
65,10.150753768844222
66,4.549898609501738
67,14.107377168683483
68,15.8100994909764
69,14.494283654341334
70,13.878993334865546
71,16.9545866022933
72,18.734873487348736
73,14.259551852915827
74,6.5108191653786704
75,19.655912730648716
76,17.3492286115007
77,17.77473047096652
78,13.117960672082718
79,12.619322898138266
80,15.883008356545961
81,16.00593667546174
82,12.481880775502809
83,16.411181244364293
84,14.155764513491414
85,21.33029768899334
86,17.051892136868343
87,16.658445146014206
88,15.917745620715918
89,16.049254966887418
90,16.87072380266475
91,18.452904929577464
92,20.1804383423605
93,14.831834180680485
94,15.54084763095103
95,14.909282962594755
96,11.791755245401609
97,3.230641132389675
98,10.358097118959106
99,3.4534667493137343
100,15.931621759023894
